Ingredient code,Ingredient despcription,Nutrient code,Nutrient description ,Nutrient value
1125,"Eggs, Grade A, Large, egg yolk",204,Total Fat,28.8
1125,"Eggs, Grade A, Large, egg yolk",601,Cholesterol,1085
1125,"Eggs, Grade A, Large, egg yolk",606,"Fatty acids, total saturated",9.551
1125,"Eggs, Grade A, Large, egg yolk",645,"Fatty acids, total monounsaturated",11.738
1125,"Eggs, Grade A, Large, egg yolk",646,"Fatty acids, total polyunsaturated",4.204
1129,"Egg, whole, cooked, hard-boiled",204,Total Fat,10.61
1129,"Egg, whole, cooked, hard-boiled",601,Cholesterol,373
1129,"Egg, whole, cooked, hard-boiled",606,"Fatty acids, total saturated",3.267
1129,"Egg, whole, cooked, hard-boiled",645,"Fatty acids, total monounsaturated",4.077
1129,"Egg, whole, cooked, hard-boiled",646,"Fatty acids, total polyunsaturated",1.414
1133,"Egg, whole, dried",204,Total Fat,39.8
1133,"Egg, whole, dried",601,Cholesterol,1700
1133,"Egg, whole, dried",606,"Fatty acids, total saturated",15.069
1133,"Egg, whole, dried",645,"Fatty acids, total monounsaturated",16.726
1133,"Egg, whole, dried",646,"Fatty acids, total polyunsaturated",8.314
1138,"Egg, duck, whole, fresh, raw",204,Total Fat,13.77
1138,"Egg, duck, whole, fresh, raw",601,Cholesterol,884
1138,"Egg, duck, whole, fresh, raw",606,"Fatty acids, total saturated",3.681
1138,"Egg, duck, whole, fresh, raw",645,"Fatty acids, total monounsaturated",6.525
1138,"Egg, duck, whole, fresh, raw",646,"Fatty acids, total polyunsaturated",1.223
1139,"Egg, goose, whole, fresh, raw",204,Total Fat,13.27
1139,"Egg, goose, whole, fresh, raw",601,Cholesterol,852
1139,"Egg, goose, whole, fresh, raw",606,"Fatty acids, total saturated",3.595
1139,"Egg, goose, whole, fresh, raw",645,"Fatty acids, total monounsaturated",5.747
1139,"Egg, goose, whole, fresh, raw",646,"Fatty acids, total polyunsaturated",1.672
1140,"Egg, quail, whole, fresh, raw",204,Total Fat,11.09
1140,"Egg, quail, whole, fresh, raw",601,Cholesterol,844
1140,"Egg, quail, whole, fresh, raw",606,"Fatty acids, total saturated",3.557
1140,"Egg, quail, whole, fresh, raw",645,"Fatty acids, total monounsaturated",4.324
1140,"Egg, quail, whole, fresh, raw",646,"Fatty acids, total polyunsaturated",1.324
1145,"Butter, stick, unsalted",204,Total Fat,82.2
1145,"Butter, stick, unsalted",601,Cholesterol,235
1145,"Butter, stick, unsalted",606,"Fatty acids, total saturated",45.6
1145,"Butter, stick, unsalted",645,"Fatty acids, total monounsaturated",16.9
1145,"Butter, stick, unsalted",646,"Fatty acids, total polyunsaturated",2.52
1151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",204,Total Fat,0.18
1151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",601,Cholesterol,2
1151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",606,"Fatty acids, total saturated",0.117
1151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",645,"Fatty acids, total monounsaturated",0.047
